CUI Category	Banner Marking: Specified Authorities	Banner Marking: Basic Authorities	Category Marking	Organizational Index Grouping
Accident Investigation	CUI//SP-AIV		AIV	Law Enforcement
Administrative Proceedings	CUI//SP-ADPO	CUI	ADPO	Legal
Agriculture		CUI	AG	Intelligence
Ammonium Nitrate	CUI//SP-CRITAN		CRITAN	Critical Infrastructure
Archaeological Resources		CUI	ARCHR	Natural and Cultural Resources
Asylee		CUI	ASYL	Immigration
Bank Secrecy	CUI//SP-FSEC	CUI	FSEC	Financial
Battered Spouse or Child		CUI	BATT	Immigration
Budget	CUI//SP-BUDG		BUDG	Financial
Campaign Funds	CUI//SP-FUND		FUND	Law Enforcement
Chemical-terrorism Vulnerability Information	CUI//SP-CVI	CUI	CVI	Critical Infrastructure
Child Pornography	CUI//SP-CHLD		CHLD	Legal
Child Victim/Witness		CUI	CVIC	Legal
Collective Bargaining		CUI	BARG	Legal
Committed Person		CUI	CMPRS	Law Enforcement
Communications		CUI	LCOMM	Law Enforcement
Comptroller General		CUI	COMPT	Financial
Consumer Complaint Information	CUI//SP-CCI		CCI	Financial
Contract Use	CUI//SP-CONTRACT		CONTRACT	Privacy
Controlled Substances	CUI//SP-SUB		SUB	Law Enforcement
Controlled Technical Information	CUI//SP-CTI		CTI	Defense
Criminal History Records Information	CUI//SP-CHRI		CHRI	Law Enforcement
Critical Energy Infrastructure Information	CUI//SP-CEII		CEII	Critical Infrastructure
Death Records		CUI	DREC	Privacy
DNA	CUI//SP-LDNA		LDNA	Law Enforcement
DoD Critical Infrastructure Security Information		CUI	DCRIT	Defense
Electronic Funds Transfer		CUI	XFER	Financial
Emergency Management		CUI	EMGT	Critical Infrastructure
Entity Registration Information		CUI	CONREG	Proprietary Business Information
Export Controlled	CUI//SP-EXPT	CUI	EXPT	Export Control
Export Controlled Research		CUI	EXPTR	Export Control
Federal Grand Jury	CUI//SP-JURY	CUI	JURY	Legal
Federal Housing Finance Non-Public Information		CUI	FHFANPI	Financial
Federal Taxpayer Information	CUI//SP-TAX		TAX	Tax
Financial Supervision Information		CUI	FSI	Financial
Foreign Intelligence Surveillance Act	CUI//SP-FISA		FISA	Intelligence
