
# --- Starting Block: "Basic Latin","Standard ASCII." (0x0000 to 0x007F) ---
0x00000020   Symbol:    Name: SPACE
0x00000021   Symbol: !  Name: EXCLAMATION MARK
0x00000022   Symbol: "  Name: QUOTATION MARK
0x00000023   Symbol: #  Name: NUMBER SIGN
0x00000024   Symbol: $  Name: DOLLAR SIGN
0x00000025   Symbol: %  Name: PERCENT SIGN
0x00000026   Symbol: &  Name: AMPERSAND
0x00000027   Symbol: '  Name: APOSTROPHE
0x00000028   Symbol: (  Name: LEFT PARENTHESIS
0x00000029   Symbol: )  Name: RIGHT PARENTHESIS
0x0000002A   Symbol: *  Name: ASTERISK
0x0000002B   Symbol: +  Name: PLUS SIGN
0x0000002C   Symbol: ,  Name: COMMA
0x0000002D   Symbol: -  Name: HYPHEN-MINUS
0x0000002E   Symbol: .  Name: FULL STOP
0x0000002F   Symbol: /  Name: SOLIDUS
0x00000030   Symbol: 0  Name: DIGIT ZERO
0x00000031   Symbol: 1  Name: DIGIT ONE
0x00000032   Symbol: 2  Name: DIGIT TWO
0x00000033   Symbol: 3  Name: DIGIT THREE
0x00000034   Symbol: 4  Name: DIGIT FOUR
0x00000035   Symbol: 5  Name: DIGIT FIVE
0x00000036   Symbol: 6  Name: DIGIT SIX
0x00000037   Symbol: 7  Name: DIGIT SEVEN
0x00000038   Symbol: 8  Name: DIGIT EIGHT
0x00000039   Symbol: 9  Name: DIGIT NINE
0x0000003A   Symbol: :  Name: COLON
0x0000003B   Symbol: ;  Name: SEMICOLON
0x0000003C   Symbol: <  Name: LESS-THAN SIGN
0x0000003D   Symbol: =  Name: EQUALS SIGN
0x0000003E   Symbol: >  Name: GREATER-THAN SIGN
0x0000003F   Symbol: ?  Name: QUESTION MARK
0x00000040   Symbol: @  Name: COMMERCIAL AT
0x00000041   Symbol: A  Name: LATIN CAPITAL LETTER A
0x00000042   Symbol: B  Name: LATIN CAPITAL LETTER B
0x00000043   Symbol: C  Name: LATIN CAPITAL LETTER C
0x00000044   Symbol: D  Name: LATIN CAPITAL LETTER D
0x00000045   Symbol: E  Name: LATIN CAPITAL LETTER E
0x00000046   Symbol: F  Name: LATIN CAPITAL LETTER F
0x00000047   Symbol: G  Name: LATIN CAPITAL LETTER G
0x00000048   Symbol: H  Name: LATIN CAPITAL LETTER H
0x00000049   Symbol: I  Name: LATIN CAPITAL LETTER I
0x0000004A   Symbol: J  Name: LATIN CAPITAL LETTER J
0x0000004B   Symbol: K  Name: LATIN CAPITAL LETTER K
0x0000004C   Symbol: L  Name: LATIN CAPITAL LETTER L
0x0000004D   Symbol: M  Name: LATIN CAPITAL LETTER M
0x0000004E   Symbol: N  Name: LATIN CAPITAL LETTER N
0x0000004F   Symbol: O  Name: LATIN CAPITAL LETTER O
0x00000050   Symbol: P  Name: LATIN CAPITAL LETTER P
0x00000051   Symbol: Q  Name: LATIN CAPITAL LETTER Q
0x00000052   Symbol: R  Name: LATIN CAPITAL LETTER R
0x00000053   Symbol: S  Name: LATIN CAPITAL LETTER S
0x00000054   Symbol: T  Name: LATIN CAPITAL LETTER T
0x00000055   Symbol: U  Name: LATIN CAPITAL LETTER U
0x00000056   Symbol: V  Name: LATIN CAPITAL LETTER V
0x00000057   Symbol: W  Name: LATIN CAPITAL LETTER W
0x00000058   Symbol: X  Name: LATIN CAPITAL LETTER X
0x00000059   Symbol: Y  Name: LATIN CAPITAL LETTER Y
0x0000005A   Symbol: Z  Name: LATIN CAPITAL LETTER Z
0x0000005B   Symbol: [  Name: LEFT SQUARE BRACKET
0x0000005C   Symbol: \  Name: REVERSE SOLIDUS
0x0000005D   Symbol: ]  Name: RIGHT SQUARE BRACKET
0x0000005E   Symbol: ^  Name: CIRCUMFLEX ACCENT
0x0000005F   Symbol: _  Name: LOW LINE
0x00000060   Symbol: `  Name: GRAVE ACCENT
0x00000061   Symbol: a  Name: LATIN SMALL LETTER A
0x00000062   Symbol: b  Name: LATIN SMALL LETTER B
0x00000063   Symbol: c  Name: LATIN SMALL LETTER C
0x00000064   Symbol: d  Name: LATIN SMALL LETTER D
0x00000065   Symbol: e  Name: LATIN SMALL LETTER E
0x00000066   Symbol: f  Name: LATIN SMALL LETTER F
0x00000067   Symbol: g  Name: LATIN SMALL LETTER G
0x00000068   Symbol: h  Name: LATIN SMALL LETTER H
0x00000069   Symbol: i  Name: LATIN SMALL LETTER I
0x0000006A   Symbol: j  Name: LATIN SMALL LETTER J
0x0000006B   Symbol: k  Name: LATIN SMALL LETTER K
0x0000006C   Symbol: l  Name: LATIN SMALL LETTER L
0x0000006D   Symbol: m  Name: LATIN SMALL LETTER M
0x0000006E   Symbol: n  Name: LATIN SMALL LETTER N
0x0000006F   Symbol: o  Name: LATIN SMALL LETTER O
0x00000070   Symbol: p  Name: LATIN SMALL LETTER P
0x00000071   Symbol: q  Name: LATIN SMALL LETTER Q
0x00000072   Symbol: r  Name: LATIN SMALL LETTER R
0x00000073   Symbol: s  Name: LATIN SMALL LETTER S
0x00000074   Symbol: t  Name: LATIN SMALL LETTER T
0x00000075   Symbol: u  Name: LATIN SMALL LETTER U
0x00000076   Symbol: v  Name: LATIN SMALL LETTER V
0x00000077   Symbol: w  Name: LATIN SMALL LETTER W
0x00000078   Symbol: x  Name: LATIN SMALL LETTER X
0x00000079   Symbol: y  Name: LATIN SMALL LETTER Y
0x0000007A   Symbol: z  Name: LATIN SMALL LETTER Z
0x0000007B   Symbol: {  Name: LEFT CURLY BRACKET
0x0000007C   Symbol: |  Name: VERTICAL LINE
0x0000007D   Symbol: }  Name: RIGHT CURLY BRACKET
0x0000007E   Symbol: ~  Name: TILDE

# --- Starting Block: "Latin-1 Supplement" (0x0080 to 0x00FF) ---
0x000000A0   Symbol: ' '  Name: NO-BREAK SPACE
0x000000A1   Symbol: ¡  Name: INVERTED EXCLAMATION MARK
0x000000A2   Symbol: ¢  Name: CENT SIGN
0x000000A3   Symbol: £  Name: POUND SIGN
0x000000A4   Symbol: ¤  Name: CURRENCY SIGN
0x000000A5   Symbol: ¥  Name: YEN SIGN
0x000000A6   Symbol: ¦  Name: BROKEN BAR
0x000000A7   Symbol: §  Name: SECTION SIGN
0x000000A8   Symbol: ¨  Name: DIAERESIS
0x000000A9   Symbol: ©  Name: COPYRIGHT SIGN
0x000000AA   Symbol: ª  Name: FEMININE ORDINAL INDICATOR
0x000000AB   Symbol: «  Name: LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
0x000000AC   Symbol: ¬  Name: NOT SIGN
0x000000AD   Symbol: ­  Name: SOFT HYPHEN
0x000000AE   Symbol: ®  Name: REGISTERED SIGN
0x000000AF   Symbol: ¯  Name: MACRON
0x000000B0   Symbol: °  Name: DEGREE SIGN
0x000000B1   Symbol: ±  Name: PLUS-MINUS SIGN
0x000000B2   Symbol: ²  Name: SUPERSCRIPT TWO
0x000000B3   Symbol: ³  Name: SUPERSCRIPT THREE
0x000000B4   Symbol: ´  Name: ACUTE ACCENT
0x000000B5   Symbol: µ  Name: MICRO SIGN
0x000000B6   Symbol: ¶  Name: PILCROW SIGN
0x000000B7   Symbol: ·  Name: MIDDLE DOT
0x000000B8   Symbol: ¸  Name: CEDILLA
0x000000B9   Symbol: ¹  Name: SUPERSCRIPT ONE
0x000000BA   Symbol: º  Name: MASCULINE ORDINAL INDICATOR
0x000000BB   Symbol: »  Name: RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
0x000000BC   Symbol: ¼  Name: VULGAR FRACTION ONE QUARTER
0x000000BD   Symbol: ½  Name: VULGAR FRACTION ONE HALF
0x000000BE   Symbol: ¾  Name: VULGAR FRACTION THREE QUARTERS
0x000000BF   Symbol: ¿  Name: INVERTED QUESTION MARK
0x000000C0   Symbol: À  Name: LATIN CAPITAL LETTER A WITH GRAVE
0x000000C1   Symbol: Á  Name: LATIN CAPITAL LETTER A WITH ACUTE
0x000000C2   Symbol: Â  Name: LATIN CAPITAL LETTER A WITH CIRCUMFLEX
0x000000C3   Symbol: Ã  Name: LATIN CAPITAL LETTER A WITH TILDE
0x000000C4   Symbol: Ä  Name: LATIN CAPITAL LETTER A WITH DIAERESIS
0x000000C5   Symbol: Å  Name: LATIN CAPITAL LETTER A WITH RING ABOVE
0x000000C6   Symbol: Æ  Name: LATIN CAPITAL LETTER AE
0x000000C7   Symbol: Ç  Name: LATIN CAPITAL LETTER C WITH CEDILLA
0x000000C8   Symbol: È  Name: LATIN CAPITAL LETTER E WITH GRAVE
0x000000C9   Symbol: É  Name: LATIN CAPITAL LETTER E WITH ACUTE
0x000000CA   Symbol: Ê  Name: LATIN CAPITAL LETTER E WITH CIRCUMFLEX
0x000000CB   Symbol: Ë  Name: LATIN CAPITAL LETTER E WITH DIAERESIS
0x000000CC   Symbol: Ì  Name: LATIN CAPITAL LETTER I WITH GRAVE
0x000000CD   Symbol: Í  Name: LATIN CAPITAL LETTER I WITH ACUTE
0x000000CE   Symbol: Î  Name: LATIN CAPITAL LETTER I WITH CIRCUMFLEX
0x000000CF   Symbol: Ï  Name: LATIN CAPITAL LETTER I WITH DIAERESIS
0x000000D0   Symbol: Ð  Name: LATIN CAPITAL LETTER ETH
0x000000D1   Symbol: Ñ  Name: LATIN CAPITAL LETTER N WITH TILDE
0x000000D2   Symbol: Ò  Name: LATIN CAPITAL LETTER O WITH GRAVE
0x000000D3   Symbol: Ó  Name: LATIN CAPITAL LETTER O WITH ACUTE
0x000000D4   Symbol: Ô  Name: LATIN CAPITAL LETTER O WITH CIRCUMFLEX
0x000000D5   Symbol: Õ  Name: LATIN CAPITAL LETTER O WITH TILDE
0x000000D6   Symbol: Ö  Name: LATIN CAPITAL LETTER O WITH DIAERESIS
0x000000D7   Symbol: ×  Name: MULTIPLICATION SIGN
